30F33A	+plugg srl
700258	01DB-METRAVIB
C49313	100fio networks technology llc
080024	10NET COMMUNICATIONS/DCA
000B10	11wave Technonlogy Co.,Ltd
A85EE4	12Sided Technology, LLC
005029	1394 PRINTER WORKING GROUP
00A02D	1394 Trade Association
001974	16063
003070	1Net Corporation
54369B	1Verge Internet Technology (Beijing) Co., Ltd.
443719	2 Save Energy Ltd
0011B2	2001 Technology Inc.
0025C3	21168
EC9681	2276427 Ontario Inc
001387	27M Technologies AB
000761	29530
28F358	2C - Trifonov & Co
B8B7D7	2GIG Technologies
001B8A	2M Electronic A/S
001929	2M2B Montadora de Maquinas Bahia Brasil LTDA
7C1EB3	2N TELEKOMUNIKACE a.s.
000D72	2Wire Inc
3C3F51	2crsi
0016A9	2ei
001199	2wcom Systems GmbH
000FA2	2xWireless
000475	3 Com Corporation
0022F0	3 Greens Aviation Limited
001840	3 Phoenix, Inc.
001C6C	30805
E4BAD9	360 Fly Inc.
000556	360 Systems
000E60	360SUN Digital Broadband Corporation
000F05	3B SYSTEM INC.
000103	3COM CORPORATION
000A5E	3COM Corporation
001EC1	3COM EUROPE LTD
00040B	3COM EUROPE LTD.
005099	3COM EUROPE, LTD.
0040B4	3COM K.K.
002085	3Com
00104B	3Com				3C905-TX PCI
006008	3Com				3Com PCI form factor 3C905 TX board
00105A	3Com				Fast Etherlink XL in a Gateway 2000
02608C	3Com				IBM PC; Imagen; Valid; Cisco; Macintosh
00608C	3Com (1990 onwards)
002654	3Com Corporation
000A04	3Com Ltd
BC25F0	3D Display Technologies Co., Ltd.
8C4B59	3D Imaging & Simulations Corp
C0A364	3D Systems Massachusetts
0021C5	3DSP Corp
00A0B5	3H TECHNOLOGY
0009B5	3J Tech. Co., Ltd.
0016A1	3Leaf Networks
080021	3M COMPANY
000649	3M Deutschland GmbH
0015C2	3M Germany
3863F6	3NOD MULTIMEDIA(SHENZHEN)CO.,LTD
0002AC	3PAR data
0008DE	3UP Systems
001A8E	3Way Networks Ltd
B06CBF	3ality Digital Systems GmbH
2C029F	3alogics
1C7E51	3bumen.com
00029C	3com
005004	3com				3C90X
00603D	3cx
0007D5	3e Technologies Int;., Inc.
CCF538	3isysnetworks
00226F	3onedata Technology Co. Ltd.
5C56ED	3pleplay Electronics Private Limited
0017A1	3soft inc.
70E139	3view Ltd
00050E	3ware, Inc.
0013CF	4Access Communications
000E56	4G Systems GmbH & Co. KG
001FD4	4IPNET, INC.
00187B	4NSYS Co. Ltd.
0011C1	4P MOBILE DATA PROCESSING
0022B2	4RF Communications Ltd
00114E	690885 Ontario Inc.
ACEE3B	6harmonics Inc
0009C0	6wind
00142E	77 Elektronika Kft.
04848A	7INOVA TECHNOLOGY LIMITED
B89919	7signal Solutions, Inc
00184F	8 Ways Technology Corp.
0011ED	802 Global
001BE5	802automation Limited
002282	8086 Consultancy
E417D8	8BITDO TECHNOLOGY HK LIMITED
182B05	8D Technologies
7C1A03	8Locations Co., Ltd.
0090A0	8X8 INC.
C49300	8devices
B8E779	9Solutions Oy
080058	???				DECsystem-20
080045	???? (maybe Xylogics, but they claim not to know this number)
000604	@Track Communications, Inc.
00081C	@pos.com
001B7C	A & R Cambridge
001534	A Beltrónica-Companhia de Comunicações, Lda
000539	A Brand New World in Sweden AB
004008	A PLUS INFO CORPORATION
00091F	A&D Co., Ltd.
8C53F7	A&D ENGINEERING CO., LTD.
C03580	A&R TECH
40040C	A&T
94DD3F	A+V Link Technologies, Corp.
001A40	A-FOUR TECH CO., LTD.
001566	A-First Technology Co., Ltd.
000FCA	A-JIN TECHLINE CO, LTD
0005C1	A-Kyung Motion, Inc.
001A9F	A-Link Ltd
00267D	A-Max Technology Macao Commercial Offshore Company Limited
000382	A-One Co., Ltd.
001667	A-TEC Subsystem INC.
00E0FD	A-TREND TECHNOLOGY CO., LTD.
001FD8	A-TRUST COMPUTER CORPORATION
00213F	A-Team Technology Ltd.
0007A7	A-Z Inc.
ECFC55	A. Eberle GmbH & Co. KG
08184C	A. S. Thomas, Inc.
00156E	A. W. Communication Systems Ltd
3806B4	A.D.C. GmbH
002506	A.I. ANTITACCHEGGIO ITALIA SRL
C47DFE	A.N. Solutions GmbH
0C8411	A.O. Smith Water Products
00E079	A.T.N.R.
080059	A/S MYCRON
001FA0	A10 Networks
001043	A2 CORPORATION
002280	A2B Electronics AB
F8BE0D	A2UICT Co.,Ltd.
FCE186	A3M Co., LTD
0021FA	A4SP Technologies Ltd.
0006B9	A5TEK Corp.
0024AB	A7 Engineering, Inc.
000EE7	AAC ELECTRONICS CORP.
0030D4	AAE Systems, Inc.
000732	AAEON Technology Inc.
0017D9	AAI Corporation
002672	AAMP of America
009057	AANetcom, Inc.
E4776B	AARTESYS AG
003097	AB Regin
C4E92F	AB Sciex
54F876	ABB AG
001B45	ABB AS, Division Automation Products
78AB60	ABB Australia
000023	ABB Automation AB, Dept. Q
002459	ABB Automation products GmbH
00022C	ABB Bomem, Inc.
807A7F	ABB Genway Xiamen Electrical Equipment CO., LTD
5031AD	ABB Global Industries and Services Private Limited
001386	ABB Inc./Totalflow
000D97	ABB Inc./Tropos
60391F	ABB Ltd
000C02	ABB Oy
0021C1	ABB Oy / Medium Voltage Products
001C01	ABB Oy Drives
00904F	ABB POWER T&D COMPANY, INC.
B89BE4	ABB Power Systems Power Generation
ACD364	ABB SPA, ABB SACE DIV.
000CDE	ABB STOTZ-KONTAKT GmbH
00032C	ABB Switzerland Ltd
0002A3	ABB Switzerland Ltd, Power Systems
803B2A	ABB Xiamen Low Voltage Equipment Co.,Ltd.
9803A0	ABB n.v. Power Quality Products
5C2ED2	ABC(XiSheng) Electronics Co.,Ltd
001D7C	ABE Elettronica S.p.A.
000076	ABEKAS VIDEO SYSTEM
00508D	ABIT COMPUTER CORPORATION
A40130	ABIsystems Co., LTD
002270	ABK North America, LLC
00501B	ABL CANADA, INC.
08001D	ABLE COMMUNICATIONS INC.
00E0F0	ABLER TECHNOLOGY, INC.
8C11CB	ABUS Security-Center GmbH & Co. KG
000C89	AC Electric Vehicles, Ltd.
000C61	AC Tech corporation DBA Advanced Digital
0030BA	AC&T SYSTEM CO., LTD.
001A55	ACA-Digital Corporation
00A095	ACACIA NETWORKS, INC.
001164	ACARD Technology Corp.
080003	ACC
000C70	ACC GmbH
08006B	ACCEL TECHNOLOGIES INC.
00502D	ACCEL, INC.
001026	ACCELERATED NETWORKS, INC.
080078	ACCELL CORPORATION
008032	ACCESS CO., LTD.
000E20	ACCESS Systems Americas, Inc.
001033	ACCESSLAN COMMUNICATIONS, INC.
0060CE	ACCLAIM COMMUNICATIONS
0090CA	ACCORD VIDEO TELECOMMUNICATIONS, LTD.
006095	ACCU-TIME SYSTEMS, INC.
001B58	ACE CAD Enterprise Co., Ltd.
00A060	ACER PERIPHERALS, INC.
7CB542	ACES Technology
0017B1	ACIST Medical Systems, Inc.
C40E45	ACK Networks,Inc.
00E093	ACKFIN NETWORKS
000990	ACKSYS Communications & systems
000C60	ACM Systems
00D073	ACN ADVANCED COMMUNICATIONS
000405	ACN Technologies
001952	ACOGITO Co., Ltd
002630	ACOREL S.A.S
006007	ACRES GAMING, INC.
00D06D	ACRISON, INC.
00D05B	ACROLOOP MOTION CONTROL
001EE4	ACS Solutions France
00175B	ACS Solutions Switzerland Ltd.
000327	ACT'L
98FD74	ACT.CO.LTD
FC09D8	ACTEON Group
002015	ACTIS COMPUTER SA
001A32	ACTIVA MULTIMEDIA
0030A5	ACTIVE POWER
8CCDA2	ACTP, Inc.
000F7C	ACTi Corporation
009037	ACUCOMM, INC.
006033	ACUITY IMAGING, INC.
00D0F9	ACUTE COMMUNICATIONS CORP.
703187	ACX GmbH
0050D5	AD SYSTEMS CORP.
001340	AD.EL s.r.l.
000AEA	ADAM ELEKTRONIK LTD. ŞTI
008027	ADAPTIVE SYSTEMS, INC.
707C18	ADATA Technology Co., Ltd
000827	ADB Broadband Italia
105AF7	ADB Italia
004016	ADC - Global Connectivity Solutions Division
00004A	ADC CODENOLL TECHNOLOGY CORP.
008051	ADC Fibermux
0009E7	ADC Techonology
001734	ADC Telecommunications
00249E	ADC-Elektronik GmbH
28F532	ADD-Engineering BV
000F6C	ADDI-DATA GmbH
000F85	ADDO-Japan Corporation
882BD7	ADDÉNERGIE  TECHNOLOGIES
001A9B	ADEC & Parter AG
0010EA	ADEPT TECHNOLOGY
0018B2	ADEUNIS RF
1064E2	ADFweb.com s.r.l.
0010A9	ADHOC TECHNOLOGIES
0008A2	ADI Engineering, Inc.
00307C	ADID SA
00145F	ADITEC CO. LTD
000B55	ADInstruments
EC42F0	ADL Embedded Solutions, Inc.
003064	ADLINK TECHNOLOGY, INC.
00E092	ADMTEK INCORPORATED
004018	ADOBE SYSTEMS, INC.
0005EF	ADOIR Digital Technology
000071	ADRA SYSTEMS INC.
148A70	ADS GmbH
0050C5	ADS Technologies, Inc
00901F	ADTEC PRODUCTIONS, INC.
00017E	ADTEK System Science Co., Ltd.
C81E8E	ADV Security (S) Pte Ltd
000B90	ADVA Optical Networking Ltd.
002090	ADVANCED COMPRESSION TECHNOLOGY, INC.
00207D	ADVANCED COMPUTER APPLICATIONS
0060F4	ADVANCED COMPUTER SOLUTIONS, Inc.
001066	ADVANCED CONTROL SYSTEMS, INC.
00088F	ADVANCED DIGITAL TECHNOLOGY
009077	ADVANCED FIBRE COMMUNICATIONS
005074	ADVANCED HI-TECH CORP.
0080B0	ADVANCED INFORMATION
00A07A	ADVANCED PERIPHERALS TECHNOLOGIES, INC.
3497FB	ADVANCED RF TECHNOLOGIES INC
009026	ADVANCED SWITCHING COMMUNICATIONS, INC.
0040DB	ADVANCED TECHNICAL SOLUTIONS
00E095	ADVANCED-VISION TECHNOLGIES CORP.
001071	ADVANET INC.
00D0C9	ADVANTECH CO., LTD.
001453	ADVANTECH TECHNOLOGIES CO.,LTD
701AED	ADVAS CO., LTD.
0018A5	ADigit Technologies Corp.
7CBD06	AE REFUsol
0026E5	AEG Power Solutions
0020BF	AEHR TEST SYSTEMS
004019	AEON SYSTEMS, INC.
04E2F8	AEP Ticketing solutions srl
000E30	AERAS Networks, Inc.
005067	AEROCOMM, INC.
005031	AEROFLEX LABORATORIES, INC.
3CC12C	AES Corporation
00A062	AES PRODATA
2087AC	AES motomation
0011BF	AESYS S.p.A.
001597	AETA AUDIO SYSTEMS
688DB6	AETEK INC.
00D0D6	AETHRA TELECOMUNICAZIONI
000D48	AEWIN Technologies Co., Ltd.
000D94	AFAR Communications,Inc
00405F	AFE COMPUTERS LTD.
002260	AFREEY Inc.
0023FD	AFT Atlas Fahrzeugtechnik GmbH
40476A	AG Acquisition Corp. d.b.a. ASTRO Gaming
6499A0	AG Elektronik AB
00017C	AG-E GmbH
C8D1D1	AGAiT Technology Corporation
080066	AGFA				printers, phototypesetters etc.
000BCF	AGFA NDT INC.
000940	AGFEO GmbH & Co. KG
0011BE	AGP Telecom Co. Ltd
0090B3	AGRANAT SYSTEMS
D881CE	AHN INC.
001137	AICHI ELECTRIC CO., LTD.
5C15E1	AIDC TECHNOLOGY (S) PTE LTD
0006DF	AIDONIC Corporation
CCA614	AIFA TECHNOLOGY CORP.
000978	AIJI System Co., Ltd.
087999	AIM GmbH
0014E6	AIM Infrarotmodule GmbH
00D020	AIM SYSTEM, INC.
000D2F	AIN Comm.Tech.Co., LTD
0025AB	AIO LCD PC BU / TPV
001DC4	AIOI Systems Co., Ltd.
001F35	AIR802 LLC
0011F8	AIRAYA Corp
E81367	AIRSOUND Inc.
384B76	AIRTAME ApS
00224B	AIRTECH TECHNOLOGIES, INC.
000DDB	AIRWAVE TECHNOLOGIES INC.
001E43	AISIN AW CO.,LTD.
006036	AIT Austrian Institute of Technology GmbH
00807A	AITECH SYSTEMS LTD.
005071	AIWA CO., LTD.
000C17	AJA Video Systems Inc
002393	AJINEXTEK
08BBCC	AK-NORD EDV VERTRIEBSGES. mbH
00E175	AK-Systems Ltd
0020C7	AKAI Professional M.I. Corp.
001CA1	AKAMAI TECHNOLOGIES, INC.
000CF4	AKATSUKI ELECTRIC MFG.CO.,LTD.
387B47	AKELA, Inc.
B4827B	AKG Acoustics GmbH
000B8F	AKITA ELECTRONICS SYSTEMS CO.,LTD.
0020E1	ALAMAR ELECTRONICS
00D0A4	ALANTRO COMMUNICATIONS
00D075	ALARIS MEDICAL SYSTEMS, INC.
0012E2	ALAXALA Networks Corporation
3C106F	ALBAHITH TECHNOLOGIES
00A081	ALCATEL DATA NETWORKS
002060	ALCATEL ITALIA S.p.A.
008039	ALCATEL STC AUSTRALIA
002032	ALCATEL TAISEL
001E57	ALCOMA, spol. s r.o.
002328	ALCON TELECOMMUNICATIONS CO., LTD.
001046	ALCORN MCBRIDE INC.
487A55	ALE International
00602D	ALERTON TECHNOLOGIES, INC.
00E03E	ALFATECH, INC.
0040BC	ALGORITHMICS LTD.
002021	ALGORITHMS SOFTWARE PVT. LTD.
0013A0	ALGOSYSTEM Co., Ltd.
00D044	ALIDIAN NETWORKS, INC.
009002	ALLGON AB
0040BA	ALLIANT COMPUTER SYSTEMS CORP.
002058	ALLIED SIGNAL INC.
000DDA	ALLIED TELESIS K.K.
009099	ALLIED TELESIS, K.K.
003084	ALLIED TELESYN INTERNAIONAL
003000	ALLWELL TECHNOLOGY CORP.
009081	ALOHA NETWORKS, INC.
3C9174	ALONG COMMUNICATION TECHNOLOGY
68F06D	ALONG INDUSTRIAL CO., LIMITED
000C7B	ALPHA PROJECT Co.,Ltd.
0090EA	ALPHA TECHNOLOGIES, INC.
009035	ALPHA TELECOM, INC.
0050EB	ALPHA-TOP CORPORATION
00A079	ALPS ELECTRIC (USA), INC.
0002C7	ALPS ELECTRIC CO.,LTD.
0013AA	ALS  & TEC Ltd.
0462D7	ALSTOM HYDRO FRANCE
9C4E8E	ALT Systems Ltd
001032	ALTA TECHNOLOGY
304174	ALTEC LANSING LLC
002055	ALTECH CO., LTD.
0060CF	ALTEON NETWORKS, INC.
0090A4	ALTIGA NETWORKS
E496AE	ALTOGRAPHICS Inc.
003081	ALTOS C&C
0020F1	ALTOS INDIA LIMITED
00301C	ALTVATER AIRDATA SYSTEMS
0090E6	ALi Corporation
000308	AM Communications, Inc.
40C8CB	AM Telecom co., Ltd.
0060D5	AMADA MIYACHI Co., Ltd
08007E	AMALGAMATED WIRELESS(AUS) LTD
005088	AMANO CORPORATION
00D07A	AMAQUEST COMPUTER CORP.
0060C7	AMATI COMMUNICATIONS CORP.
00E008	AMAZING CONTROLS! INC.
0004B7	AMB i.t. Holding
00309F	AMBER NETWORKS
00A086	AMBER WAVE SYSTEMS, INC.
0018DA	AMBER wireless GmbH
00D059	AMBIT MICROSYSTEMS CORP.
00001A	AMD
006094	AMD PCNET PCI
00E0B8	AMD PCNet			in a Gateway 2000
0002F0	AME Optimedia Technology Co., Ltd.
00D0A5	AMERICAN ARIUM
00D03F	AMERICAN COMMUNICATION
0040D9	AMERICAN MEGATRENDS INC.
001088	AMERICAN NETWORKS INC.
00A043	AMERICAN TECHNOLOGY LABS, INC.
00A04F	AMERITEC CORP.
000F88	AMETEK, Inc.
545146	AMG Systems Ltd.
0010F5	AMHERST SYSTEMS, INC.
187A93	AMICCOM Electronics Corporation
00D041	AMIGO TECHNOLOGY CO., LTD.
005018	AMIT, Inc.
002026	AMKLY SYSTEMS, INC.
0013F1	AMOD Technology Co., Ltd.
001240	AMOI ELECTRONICS CO.,LTD
1C4AF7	AMON INC
004076	AMP Incorporated
0022F4	AMPAK Technology, Inc.
00007C	AMPERE INCORPORATED
00004E	AMPEX CORPORATION
7C6C8F	AMS NEVE LTD
00603B	AMTEC spa
000954	AMiT spol. s. r. o.
002030	ANALOG & DIGITAL SYSTEMS
0022DA	ANATEK, LLC
00503F	ANCHOR GAMES
0060C5	ANCOT CORP.
0050ED	ANDA NETWORKS
002396	ANDES TECHNOLOGY CORPORATION
001E88	ANDOR SYSTEM SUPPORT CO., LTD.
002183	ANDRITZ HYDRO GmbH
00A051	ANGIA COMMUNICATIONS. INC.
8432EA	ANHUI WANZTEN P&T CO., LTD
000183	ANITE TELECOMS
0000FE	ANNAPOLIS MICRO SYSTEMS
743889	ANNAX Anzeigesysteme GmbH
000A02	ANNSO CO., LTD.
307CB2	ANOV FRANCE
B8266C	ANOV France
000091	ANRITSU CORPORATION
0018BE	ANSA Corporation
000455	ANTARA.net
78B6C1	AOBO Telecom Co.,Ltd
002467	AOC International (Europe) GmbH
606453	AOD Co.,Ltd.
000CDD	AOS technologies AG
000180	AOpen, Inc.
00218D	AP Router Ind. Eletronica LTDA
000F99	APAC opto Electronics Inc.
0022E4	APASS TECHNOLOGY CO., LTD.
D8DA52	APATOR S.A.
D08999	APCON, Inc.
001771	APD Communications Ltd
00804E	APEX COMPUTER COMPANY
00A007	APEXX TECHNOLOGY, INC.
003058	API MOTION
74E424	APISTE CORPORATION
000D3E	APLUX Communications Ltd.
00304C	APPIAN COMMUNICATIONS, INC.
00A091	APPLICOM INTERNATIONAL
000040	APPLICON, INC.
00D027	APPLIED AUTOMATION, INC.
00A023	APPLIED CREATIVE TECHNOLOGY, INC.
009041	APPLIED DIGITAL ACCESS
000019	APPLIED DYNAMICS INTERNATIONAL
0010E6	APPLIED INTELLIGENT SYSTEMS, INC.
00A036	APPLIED NETWORK TECHNOLOGY
00906B	APPLIED RESOURCES, INC.
002097	APPLIED SIGNAL TECHNOLOGY
000C0C	APPRO TECHNOLOGY INC.
10E4AF	APR, LLC
0021B4	APRO MEDIA CO., LTD
001F96	APROTECH CO.LTD
082719	APS systems/electronic AG
00004B	APT
00803B	APT Communications, Inc.
00C0FE	APTEC COMPUTER SYSTEMS, INC.
00E028	APTIX CORPORATION
D03DC3	AQ Corporation
0014B7	AR Infotek Inc.
0060E3	ARBIN INSTRUMENTS
00230A	ARBURG GmbH & Co KG
A887ED	ARC Wireless LLC
0018D8	ARCH METER Corporation
0080B9	ARCHE TECHNOLIGIES INC.
14B73D	ARCHEAN Technologies
000153	ARCHTEK TELECOM CORPORATION
008066	ARCOM CONTROL SYSTEMS, LTD.
00E0B5	ARDENT COMMUNICATIONS CORP.
00D08F	ARDENT TECHNOLOGIES, INC.
BCBAE1	AREC Inc.
9CF938	AREVA NP GmbH
000284	AREVA T&D
30A220	ARG Telecom
009074	ARGON NETWORKS, INC.
C0E54E	ARIES Embedded GmbH
0080BE	ARIES RESEARCH
000D92	ARIMA Communications Corp.
000E1D	ARION Technology Inc.
0000C7	ARIX CORPORATION
A4895B	ARK INFOSOLUTIONS PVT LTD
00C00C	ARK PC Technology, Inc.
0001C2	ARK Research Corp.
00A0CB	ARK TELECOMMUNICATIONS, INC.
000FEC	ARKUS Inc.
00E0F2	ARLOTTO COMNET, INC.
0010C0	ARMA, Inc.
000466	ARMITEL Co.
000A46	ARO WELDING TECHNOLOGIES SAS
0003E0	ARRIS Group, Inc.
0009F9	ART JAPAN CO., LTD.
0021CA	ART System Co., Ltd.
000A1F	ART WARE Telecommunication Co., Ltd.
001160	ARTDIO Company Co., LTD
0090D2	ARTEL VIDEO SYSTEMS
001D9D	ARTJOY INTERNATIONAL LIMITED
0026C1	ARTRAY CO., LTD.
001218	ARUZE Corporation
441E91	ARVIDA Intelligent Electronics Technology  Co.,Ltd.
001E22	ARVOO Imaging Products BV
0008C0	ASA SYSTEMS
0C4F5A	ASA-RT s.r.l.
005044	ASACA CORPORATION
000D20	ASAHIKASEI TECHNOSYSTEM CO.,LTD.
0005B1	ASB Technology BV
00609E	ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS
00D052	ASCEND COMMUNICATIONS, INC.
0CCB8D	ASCO Numatics GmbH
DC2008	ASD Electronics Ltd
00C0FC	ASDG Incorporated
0004C5	ASE Technologies, USA
0012CD	ASEM SpA
001A33	ASI Communications, Inc.
00181D	ASIA ELECTRONICS CO.,LTD
000E01	ASIP Technologies Inc.
00508F	ASITA TECHNOLOGIES INT'L LTD.
000EC6	ASIX ELECTRONICS CORP.
0011F5	ASKEY COMPUTER CORP
000366	ASM Pacific Technology
B8415F	ASP AG
004092	ASP Computer Products, Inc.
001490	ASP Corporation
0090F3	ASPECT COMMUNICATIONS
0090AD	ASPECT ELECTRONICS, INC.
BCD940	ASR Co,.Ltd.
002522	ASRock Incorporation
00177A	ASSA ABLOY AB
DCC0EB	ASSA ABLOY CÔTE PICARDE
3C4937	ASSMANN Electronic GmbH
009044	ASSURED DIGITAL, INC.
00401C	AST				Pentium/90 PC (emulating AMD EISA card)
00E02C	AST - built into 5166M PC motherboard (win95 id's as Intel)
002507	ASTAK Inc.
001919	ASTEL Inc.
00A08B	ASTON ELECTRONIC DESIGNS LTD.
001C5E	ASTON France
00D0FE	ASTRAL POINT
001772	ASTRO Strobel Kommunikationssysteme GmbH
00309A	ASTRO TERRA CORP.
000C6E	ASUSTek COMPUTER INC.
001A28	ASWT Co., LTD. Taiwan Branch H.K.
00D0CE	ASYST ELECTRONIC
0006DD	AT & T Laboratories - Cambridge Ltd
000DE3	AT Sweden AB
00003D	AT&T
080010	AT&T [misrepresentation of 800010?]
800010	AT&T [misrepresented as 080010? One source claims this is correct]
00D0CD	ATAN TECHNOLOGY INC.
000036	ATARI CORPORATION
AC1461	ATAW  Co., Ltd.
808287	ATCOM Technology Co.Ltd.
009084	ATECH SYSTEM
34F968	ATEK Products, LLC
001074	ATEN INTERNATIONAL CO., LTD.
00256B	ATENIX E.E. s.r.l.
60B185	ATH system
004080	ATHENIX CORPORATION
0025DB	ATI Electronics(Shenzhen) Co., LTD
0016BD	ATI Industrial Automation
0006BB	ATI Technologies Inc.
005084	ATL PRODUCTS
00903C	ATLANTIC NETWORK SYSTEMS
00800E	ATLANTIX CORPORATION
0050D6	ATLAS COPCO TOOLS AB
004071	ATM COMPUTER GMBH
00A03E	ATM FORUM
00202B	ATML (Advanced Telecommunications Modules, Ltd.)
0010B4	ATMOSPHERE NETWORKS
001764	ATMedia GmbH
3428F0	ATN International Limited
0008E0	ATO Technology Ltd.
042F56	ATOCS (Shenzhen) LTD
001440	ATOMIC Corporation
0040E0	ATOMWIDE LTD.
0060E9	ATOP TECHNOLOGIES, INC.
141357	ATP Electronics, Inc.
001B2C	ATRON electronic GmbH
001442	ATTO CORPORATION
001086	ATTO Technology, Inc.
0016D0	ATech elektronika d.o.o.
00908F	AUDIO CODES LTD.
DCE71C	AUG Elektronik GmbH
A0D385	AUMA Riester GmbH & Co. KG
00107D	AURORA COMMUNICATIONS, LTD.
00607F	AURORA TECHNOLOGIES, INC.
002470	AUROTECH ultrasound AS.
00A06E	AUSTRON, INC.
00207C	AUTEC GMBH
646A74	AUTH-SERVERS, LLC
58E808	AUTONICS CORPORATION
0015B0	AUTOTELENET CO.,LTD
002671	AUTOVISION Co., Ltd
000D1F	AV Digital
000E53	AV TECH CORPORATION
005028	AVAL COMMUNICATIONS
0080B3	AVAL DATA CORPORATION
00E00E	AVALON IMAGING SYSTEMS, INC.
A0FE91	AVAT Automation GmbH
0080FC	AVATAR CORPORATION
001695	AVC Technology (International) Limited
001A8D	AVECS Bergen GmbH
0090E3	AVEX ELECTRONICS INC.
0012ED	AVG Advanced Technologies
EC60E0	AVI-ON LABS
0090B2	AVICI SYSTEMS INC.
00A07E	AVID TECHNOLOGY, INC.
00E01F	AVIDIA Systems, Inc.
000890	AVILINKS SA
003008	AVIO DIGITAL, INC.
00D0E1	AVIONITEK ISRAEL INC.
0016F8	AVIQTECH TECHNOLOGY CO., LTD.
0011EC	AVIX INC.
000523	AVL List GmbH
000108	AVLAB Technology, Inc.
3810D5	AVM Audiovisuelles Marketing und Computersysteme GmbH
00040E	AVM GmbH
000509	AVOC Nishimura Ltd.
0012B2	AVOLITES LTD.
00069B	AVT Audio Video Technologies GmbH
A0E201	AVTrace Ltd.(China)
00181A	AVerMedia Information Inc.
00109E	AWARE, INC.
EC43E6	AWCER Ltd.
0016A7	AWETA G&P
00125F	AWIND Inc.
34A183	AWare, Inc
F8D3A9	AXAN Networks
0003A9	AXCENT Media AG
000D12	AXELL Corporation
64C6AF	AXERRA Networks Ltd
54D0ED	AXIM Communications
10CCDB	AXIMUM PRODUITS ELECTRONIQUES
0018CC	AXIOHM SAS
0060E0	AXIOM TECHNOLOGY CO., LTD.
001D9E	AXION TECHNOLOGIES
A0D12A	AXPRO Technology Inc.
0030AA	AXUS MICROSYSTEMS, INC.
00047A	AXXESSIT ASA
00A0DD	AZONIX CORPORATION
5CC7D7	AZROAD TECHNOLOGY COMPANY LIMITED
0030FB	AZS Technology AG
00903F	AZTEC RADIOMEDIA
001F07	AZTEQ Mobile
00085D	Aastra
0010BC	Aastra Telecom
00020F	Aatr
702F97	Aava Mobile Oy
000C01	Abatron AG
000C62	AbbCewe-               # ABB AB, Cewe-Control
